complaint_text,category
Out_of_catch_basin,Drainage Blockage
Pavement_Defect,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Water_main,Water Leakage
Water_main,Water Leakage
"Hey, construction damage left unrepaired public park corner. Can someone please come and fix it as soon as possible?",Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Construction_Plate_Shifted,Road Damage
"While passing by inside our colony yesterday, I noticed a severe case of huge dangerous potholes. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Road Damage
Pavement_Defect,Road Damage
Light_Glass_Cover_Missing on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
On_street,Drainage Blockage
Electronics_w_monitor_21_inches_and_over,Garbage
Garbage,Garbage
Manhole_Cover_Off,Road Damage
Refrigerator,Garbage
Pavement_Defect,Road Damage
Water_main,Water Leakage
Other,Water Leakage
City_garbage_can_overflowing,Garbage
Pavement_Defect,Road Damage
Furniture,Garbage
"While passing by service road yesterday, I noticed a severe case of industrial sludge blocking the outflow. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
Boxed or Bagged Items,Garbage
Water_coming_out,Drainage Blockage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Light_Dim on Concrete Pole,Streetlight Fault
Water_main,Water Leakage
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
Why has the litter scattered all over the playground service road not been attended to yet? Who is responsible for this civic neglect?,Garbage
Other,Water Leakage
Other Loose Garbage,Garbage
Other,Water Leakage
Mattress,Garbage
Other_Request_New_Streetlight on Unknown Pole,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Water_main,Water Leakage
Pavement_Defect,Road Damage
Other,Water Leakage
Pavement_Defect,Road Damage
Other Loose Garbage,Garbage
Boxed or Bagged Items,Garbage
Other,Water Leakage
Water_coming_out,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Light_On_all_the_time on Wooden Pole,Streetlight Fault
swarm of insects and flies everywhere near the school.,Garbage
Other Loose Garbage,Garbage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Furniture,Garbage
Water_main,Water Leakage
Garbage,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other Loose Garbage,Garbage
Light_On_all_the_time on Concrete Pole,Streetlight Fault
Furniture,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other,Water Leakage
On_property,Drainage Blockage
Other,Water Leakage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Boxed or Bagged Items,Garbage
On_street,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
"Hey, damaged fire hydrant leaking continuously public park corner. Can someone please come and mend it as soon as possible?",Water Leakage
Other,Water Leakage
Light_Dim on Wooden Pole,Streetlight Fault
How long do we have to tolerate this dead animal causing terrible smell bridge approach?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
Pavement_Defect,Road Damage
"Hey, severely blocked sewer causing backflow industrial zone. Can someone please come and mend it as soon as possible?",Drainage Blockage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Out_of_catch_basin,Drainage Blockage
Other on Metal Pole,Streetlight Fault
"While passing by shopping complex yesterday, I noticed a severe case of rotting food waste attracting stray dogs. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
It has been observed that no streetlighting making it unsafe for women is present public park corner. A regular inspection and subsequent patch up should be scheduled by the concerned department.,Streetlight Fault
It is deeply distressing to see fuse blown inside the pole base panel inside our colony. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Streetlight Fault
Pole_Damaged on Concrete Pole,Streetlight Fault
Light_Burnt_Out on Wooden Pole,Streetlight Fault
culvert completely plugged with debris railway station gate.,Drainage Blockage
"While passing by apartment entrance yesterday, I noticed a severe case of main supply conduit cracked open. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Mattress,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
It has been observed that unlevel manhole cover sticking out is present village square. A regular inspection and subsequent check should be scheduled by the concerned department.,Road Damage
Water_leak Water_leak,Water Leakage
Human Waste,Garbage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Other,Water Leakage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Other,Water Leakage
Other Loose Garbage,Garbage
Other Loose Garbage,Garbage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Water_main,Water Leakage
Pavement_Defect,Road Damage
Other Loose Garbage,Garbage
On_street,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Encampment Cleanup,Garbage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
"Hey, cracked and eroding asphalt surface shopping complex. Can someone please come and overhaul it as soon as possible?",Road Damage
Why has the subside pavement dangerous for pedestrians railway station gate not been attended to yet? Who is responsible for this civic neglect?,Road Damage
Outofsewervent4inch,Drainage Blockage
Utility_Excavation,Road Damage
Pavement_Defect,Road Damage
Mattress,Garbage
Water_main,Water Leakage
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Light_Dim on Wooden Pole,Streetlight Fault
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
loose gravel causing bikes to slip government office back alley.,Road Damage
It has been observed that foul odor making it impossible to breathe is present temple street. A regular inspection and subsequent fix should be scheduled by the concerned department.,Garbage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Liquids - Oil/Paint/Other,Garbage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Light_Flickering_On_Off on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Other Loose Garbage,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other on Wooden Pole,Streetlight Fault
Pavement_Defect,Road Damage
Water_leak Water_leak,Water Leakage
Light_On_all_the_time on Concrete Pole,Streetlight Fault
Illegal_Dumping,Garbage
Construction_Plate_Shifted,Road Damage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Pavement_Defect,Road Damage
Other,Water Leakage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
On_property,Drainage Blockage
This is to bring to your kind notice that there is an issue with illegal dumping of construction debris situated metro station exit. Kindly arrange for an immediate check.,Garbage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Light_Burnt_Out on Metal Pole,Streetlight Fault
It is deeply distressing to see stagnant black water emitting foul smell main crossroad. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Drainage Blockage
Pavement_Defect,Road Damage
Other,Water Leakage
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Other,Water Leakage
On_street,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Boxed or Bagged Items,Garbage
"Hey, swarm of insects and flies everywhere industrial zone. Can someone please come and clean it as soon as possible?",Garbage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Sidewalk_Cleaning,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Boxed or Bagged Items,Garbage
"While passing by village square yesterday, I noticed a severe case of illegal dumping of construction debris. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Other,Water Leakage
It is deeply distressing to see major burst pipeline flooding the street near the school. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
Other Loose Garbage,Garbage
It is deeply distressing to see overhead municipal tank overflowing by the market. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Other,Water Leakage
Street_Cleaning - Other_enter_additional_details_below,Garbage
Other,Water Leakage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Water_leak Water_leak,Water Leakage
Other,Water Leakage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
sludge accumulation reducing pipe capacity residential area.,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Pavement_Defect,Road Damage
This is to bring to your kind notice that there is an issue with discarded furniture blocking the lane situated apartment entrance. Kindly arrange for an immediate mend.,Garbage
Furniture,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
On_property,Drainage Blockage
Encampment Cleanup,Garbage
Water_coming_out,Drainage Blockage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Pavement_Defect,Road Damage
Oil_paint_other_liquid_spill_wet,Garbage
I am writing this to report a persistent problem regarding gutter overflowing onto the walking path shopping complex. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary overhaul at the earliest opportunity to prevent further hazards.,Drainage Blockage
Pavement_Defect,Road Damage
Why has the exposed live wiring hanging from the post near the school not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Pavement_Defect,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Why has the loose gravel causing bikes to slip residential area not been attended to yet? Who is responsible for this civic neglect?,Road Damage
Water_main,Water Leakage
On_street,Drainage Blockage
On_street,Drainage Blockage
Water_leak Water_leak,Water Leakage
Light_Burnt_Out on Metal Pole,Streetlight Fault
"Hey, uncleared trash piles creating unhygienic conditions bridge approach. Can someone please come and remove it as soon as possible?",Garbage
Why has the flooded storm drain after mild rain temple street not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Out_of_catch_basin,Drainage Blockage
Pavement_Defect,Road Damage
"While passing by shopping complex yesterday, I noticed a severe case of overflowing manhole cover lifting up. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
Water_main,Water Leakage
From_side_sewer_vent,Drainage Blockage
Other,Water Leakage
Pavement_Defect,Road Damage
Human_waste_or_urine,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Pavement_Defect,Road Damage
Human Waste,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
On_street,Drainage Blockage
Pavement_Defect,Road Damage
Other,Water Leakage
Other Loose Garbage,Garbage
Outofsewervent4inch,Drainage Blockage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Tires_less_than_10,Garbage
"Hey, loose gravel causing bikes to slip residential area. Can someone please come and inspect it as soon as possible?",Road Damage
Other Loose Garbage,Garbage
Boxed or Bagged Items,Garbage
Manhole_Cover_Off,Road Damage
Human_waste_or_urine,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Glass,Garbage
Other Loose Garbage,Garbage
Other,Water Leakage
It has been observed that broken paver blocks on the walkway is present near the school. A regular inspection and subsequent rectify should be scheduled by the concerned department.,Road Damage
Water_coming_out,Drainage Blockage
Garbage,Garbage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Water_leak Water_leak,Water Leakage
Furniture,Garbage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Manhole_Cover_Off,Road Damage
Pavement_Defect,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
This is to bring to your kind notice that there is an issue with cracked and eroding asphalt surface situated inside our colony. Kindly arrange for an immediate look into.,Road Damage
Other,Water Leakage
Light_Glass_Cover_Hanging on Metal Pole,Streetlight Fault
Furniture,Garbage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Glass,Garbage
Electronics_w_monitor_under_21_inches,Garbage
Other Loose Garbage,Garbage
Pavement_Defect,Road Damage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
"Hey, culvert completely plugged with debris village square. Can someone plz come and fix it as soon as possible?",Drainage Blockage
Water_leak Water_leak,Water Leakage
It is deeply distressing to see discarded furniture blocking the lane service road. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
