complaint_text,category
It is deeply distressing to see rotting food waste attracting stray dogs government office back alley. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
It is deeply distressing to see sharp edges on the side of the road footpath. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Road Damage
This is to bring to your kind notice that there is an issue with swarm of insects and flies everywhere situated service road. Kindly arrange for an immediate renovate.,Garbage
It is deeply distressing to see transformer issue affecting all street poles residential area. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Streetlight Fault
Why has the LED panel failure resulting in zero illumination near the bus stop not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
It has been observed that exposed iron rods from broken pavement is present footpath. A regular inspection and subsequent address should be scheduled by the concerned department.,Road Damage
It has been observed that drinking water pipe contaminated by roadside flow is present highway lane. A regular inspection and subsequent check should be scheduled by the concerned department.,Water Leakage
Could you please look into the dirty water backing up into household toilets bridge approach? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
It is deeply distressing to see broken electric pole leaning dangerously bridge approach. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Streetlight Fault
It has been observed that light completely off leaving area pitch dark is present footpath. A regular inspection and subsequent look into should be scheduled by the concerned department.,Streetlight Fault
"While passing by service road yesterday, I noticed a severe case of freshwater wasting down the storm drain. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
It has been observed that culvert completely plugged with debris is present bridge approach. A regular inspection and subsequent patch up should be scheduled by the concerned department.,Drainage Blockage
It has been observed that fuse blown inside the pole base panel is present industrial zone. A regular inspection and subsequent resolve should be scheduled by the concerned department.,Streetlight Fault
I am writing this to report a persistent problem regarding swarm of insects and flies everywhere temple street. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary overhaul at the earliest opportunity to prevent further hazards.,Garbage
This is to bring to your kind notice that there is an issue with roadside waste accumulating over weeks situated inside our colony. Kindly arrange for an immediate look into.,Garbage
"While passing by near the school yesterday, I noticed a severe case of uncleared trash piles creating unhygienic conditions. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
clogged roadside drain filled with silt temple street.,Drainage Blockage
Could you please look into the feces and dark water pooling on the asphalt inside our colony? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
I am writing this to report a persistent problem regarding transformer issue affecting all street poles industrial zone. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary remove at the earliest opportunity to prevent further hazards.,Streetlight Fault
It has been observed that culvert completely plugged with debris is present industrial zone. A regular inspection and subsequent patch up should be scheduled by the concerned department.,Drainage Blockage
"Hey, public tap leaking non-stop residential area. Can someone please come and overhaul it as soon as possible?",Water Leakage
I am writing this to report a persistent problem regarding bracket arm broken and dangling industrial zone. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary clean at the earliest opportunity to prevent further hazards.,Streetlight Fault
Why has the transformer issue affecting all street poles inside our colony not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
It has been observed that gushing water from broken main line is present service road. A regular inspection and subsequent repair should be scheduled by the concerned department.,Water Leakage
It has been observed that valve chamber completely flooded is present metro station exit. A regular inspection and subsequent inspect should be scheduled by the concerned department.,Water Leakage
"While passing by apartment entrance yesterday, I noticed a severe case of unlevel manhole cover sticking out. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Road Damage
severely blocked sewer causing backflow main crossroad.,Drainage Blockage
Why has the sinking road bed forming a deep dip highway lane not been attended to yet? Who is responsible for this civic neglect?,Road Damage
I am writing this to report a persistent problem regarding household garbage thrown in open plots public park corner. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary attend to at the earliest opportunity to prevent further hazards.,Garbage
I am writing this to report a persistent problem regarding subside pavement dangerous for pedestrians temple street. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary sort out at the earliest opportunity to prevent further hazards.,Road Damage
"While passing by temple street yesterday, I noticed a severe case of gushing water from broken main line. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
How long do we have to tolerate this service pipe ruptured by utility workers near the school?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
Why has the fuse blown inside the pole base panel near the school not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
Could you please look into the LED panel failure resulting in zero illumination near the bus stop? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Streetlight Fault
Could you please look into the stagnant black water emitting foul smell industrial zone? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
How long do we have to tolerate this market waste discarded haphazardly inside our colony?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
How long do we have to tolerate this fountain of water from construction puncture near the bus stop?! This is an absolute failure of civic maintenance. Fix it immedately without any more excuses!,Water Leakage
It has been observed that industrial sludge blocking the outflow is present residential area. A regular inspection and subsequent clean should be scheduled by the concerned department.,Drainage Blockage
How long do we have to tolerate this overhead municipal tank overflowing near the school?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
This is to bring to your kind notice that there is an issue with grease block from nearby restaurants situated inside our colony. Kindly arrange for an immediate renovate.,Drainage Blockage
I am writing this to report a persistent problem regarding damaged automated switch mechanism metro station exit. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary clean at the earliest opportunity to prevent further hazards.,Streetlight Fault
"While passing by village square yesterday, I noticed a severe case of huge dangerous potholes. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Road Damage
"Hey, stray animals tearing up garbage bags inside our colony. Can someone please come and clean it as soon as possible?",Garbage
This is to bring to your kind notice that there is an issue with community bin hasn't been emptied for a week situated by the market. Kindly arrange for an immediate address.,Garbage
This is to bring to your kind notice that there is an issue with household garbage thrown in open plots situated bridge approach. Kindly arrange for an immediate remove.,Garbage
damaged speed breaker without markings by the market.,Road Damage
underground pipe crack seeping through concrete highway lane.,Water Leakage
It has been observed that overflowing dumpsters catching fire is present by the market. A regular inspection and subsequent remove should be scheduled by the concerned department.,Garbage
Could you plz look into the constant dripping from connection point shopping complex? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Water Leakage
supply line joint broken industrial zone.,Water Leakage
Why has the dry leaves blocking the drainage grate footpath not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
"Hey, industrial sludge blocking the outflow near the school. Can someone please come and overhaul it as soon as possible?",Drainage Blockage
It has been observed that grease block from nearby restaurants is present shopping complex. A regular inspection and subsequent look into should be scheduled by the concerned department.,Drainage Blockage
Why has the damaged automated switch mechanism inside our colony not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
How long do we have to tolerate this exposed iron rods from broken pavement temple street?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Road Damage
"Hey, gutter overflowing onto the walking path metro station exit. Can someone please come and renovate it as soon as possible?",Drainage Blockage
Could you please look into the exposed iron rods from broken pavement bridge approach? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Road Damage
stray animals tearing up garbge bags industrial zone.,Garbage
How long do we have to tolerate this discarded furniture blocking the lane near the bus stop?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
Why has the dim light barely illuminating the ground inside our colony not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
Could you please look into the dirty water backing up into household toilets main crossroad? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
How long do we have to tolerate this high mast light not working since weeks railway station gate?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Streetlight Fault
"Hey, discarded furniture blocking the lane apartment entrance. Can someone please come and check it as soon as possible?",Garbage
"While passing by apartment entrance yesterday, I noticed a severe case of discarded furniture blocking the lane. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
Why has the subside pavement dangerous for pedestrians shopping complex not been attended to yet? Who is responsible for this civic neglect?,Road Damage
It is deeply distressing to see poultry waste dumped illegally service road. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
"Hey, damaged automated switch mechanism village square. Can someone please come and rectify it as soon as possible?",Streetlight Fault
It has been observed that freshwater wasting down the storm drain is present railway station gate. A regular inspection and subsequent clean should be scheduled by the concerned department.,Water Leakage
"While passing by near the school yesterday, I noticed a severe case of overflowing manhole cover lifting up. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
Why has the dead animal causing terrible smell inside our colony not been attended to yet? Who is responsible for this civic neglect?,Garbage
This is to bring to your kind notice that there is an issue with illegal dumping of construction debris situated highway lane. Kindly arrange for an immediate inspect.,Garbage
Could you please look into the partially collapsed section of the road footpath? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Road Damage
Why has the damaged and peeling asphalt residential area not been attended to yet? Who is responsible for this civic neglect?,Road Damage
It is deeply distressing to see leaking control valve spraying water service road. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
"Hey, entire street dark for five consecutive nights residential area. Can someone please come and patch up it as soon as possible?",Streetlight Fault
"Hey, dead animal causing terrible smell near the bus stop. Can someone please come and clean it as soon as possible?",Garbage
It is deeply distressing to see plastic bottles blocking the sidewalk highway lane. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
Why has the discarded furniture blocking the lane government office back alley not been attended to yet? Who is responsible for this civic neglect?,Garbage
It is deeply distressing to see broken concrete road divider government office back alley. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Road Damage
I am writing this to report a persistent problem regarding transformer issue affecting all street poles highway lane. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary resolve at the earliest opportunity to prevent further hazards.,Streetlight Fault
Could you please look into the unlevel manhole cover sticking out government office back alley? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Road Damage
"Hey, cracked and eroding asphalt surface village square. Can someone please come and repair it as soon as possible?",Road Damage
I am writing this to report a persistent problem regarding exposed iron rods from broken pavement temple street. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary sort out at the earliest opportunity to prevent further hazards.,Road Damage
I am writing this to report a persistent problem regarding vandalized light fixture with broken glass highway lane. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary address at the earliest opportunity to prevent further hazards.,Streetlight Fault
"While passing by footpath yesterday, I noticed a severe case of illegal dumping of construction debris. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
It is deeply distressing to see overhead municipal tank overflowing footpath. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
Why has the waste water stagnant for over a month by the market not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
How long do we have to tolerate this service pipe ruptured by utility workers residential area?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
It is deeply distressing to see drinking water pipe contaminated by roadside flow service road. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
This is to bring to your kind notice that there is an issue with overflowing dumpsters catching fire situated near the school. Kindly arrange for an immediate patch up.,Garbage
hairline pipeline crack causing low pressure by the market.,Water Leakage
I am writing this to report a persistent problem regarding deep ruts from heavy trucks residential area. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary attend to at the earliest opportunity to prevent further hazards.,Road Damage
It is deeply distressing to see sinking road bed forming a deep dip industrial zone. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Road Damage
How long do we have to tolerate this exposed live wiring hanging from the post outside the hospital?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Streetlight Fault
"While passing by public park corner yesterday, I noticed a severe case of foul odor making it impossible to breathe. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
"While passing by railway station gate yesterday, I noticed a severe case of gushing water from broken main line. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
It has been observed that fuse blown inside the pole base panel is present village square. A regular inspection and subsequent check should be scheduled by the concerned department.,Streetlight Fault
I am writing this to report a persistent problem regarding drinking water pipe contaminated by roadside flow outside the hospital. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary look into at the earliest opportunity to prevent further hazards.,Water Leakage
"While passing by by the market yesterday, I noticed a severe case of underground cable fault cut off power. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Streetlight Fault
How long do we have to tolerate this hairline pipeline crack causing low pressure temple street?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
I am writing this to report a persistent problem regarding dirty water backing up into household toilets apartment entrance. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary sort out at the earliest opportunity to prevent further hazards.,Drainage Blockage
It has been observed that timer malfunction turning lights off early is present government office back alley. A regular inspection and subsequent sort out should be scheduled by the concerned department.,Streetlight Fault
Could you please look into the culvert completely plugged with debris by the market? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
How long do we have to tolerate this partially collapsed section of the road apartment entrance?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Road Damage
This is to bring to your kind notice that there is an issue with entire lane washed away situated shopping complex. Kindly arrange for an immediate clean.,Road Damage
"While passing by by the market yesterday, I noticed a severe case of open drain choked with weeds and domestic waste. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
This is to bring to your kind notice that there is an issue with damaged automated switch mechanism situated near the bus stop. Kindly arrange for an immediate remove.,Streetlight Fault
I am writing this to report a persistent problem regarding transformer issue affecting all street poles railway station gate. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary look into at the earliest opportunity to prevent further hazards.,Streetlight Fault
"Hey, dry leaves blocking the drainage grate service road. Can someone please come and remove it as soon as possible?",Drainage Blockage
How long do we have to tolerate this heavy accumulation of dry leaves and plastic footpath?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
How long do we have to tolerate this roadside waste accumulating over weeks service road?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
"While passing by temple street yesterday, I noticed a severe case of sewage overflow entering residential compounds. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
I am writing this to report a persistent problem regarding plastic bags clogging the inlet government office back alley. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary clear at the earliest opportunity to prevent further hazards.,Drainage Blockage
vandalized light fixture with broken glass apartment entrance.,Streetlight Fault
It is deeply distressing to see sludge accumulation reducing pipe capacity by the market. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Drainage Blockage
How long do we have to tolerate this timer malfunction turning lights off early government office back alley?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Streetlight Fault
This is to bring to your kind notice that there is an issue with dirty water backing up into household toilets situated outside the hospital. Kindly arrange for an immediate clear.,Drainage Blockage
I am writing this to report a persistent problem regarding main supply conduit cracked open near the school. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary address at the earliest opportunity to prevent further hazards.,Water Leakage
Why has the collapsed drainage pipe underground government office back alley not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
This is to bring to your kind notice that there is an issue with water meter leakage wasting clean water situated government office back alley. Kindly arrange for an immediate mend.,Water Leakage
"Hey, overhead municipal tank overflowing apartment entrance. Can someone please come and fix it as soon as possible?",Water Leakage
It is deeply distressing to see exposed iron rods from broken pavement railway station gate. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Road Damage
This is to bring to your kind notice that there is an issue with sludge accumulation reducing pipe capacity situated outside the hospital. Kindly arrange for an immediate overhaul.,Drainage Blockage
I am writing this to report a persistent problem regarding fuse blown inside the pole base panel highway lane. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary rectify at the earliest opportunity to prevent further hazards.,Streetlight Fault
Could you plz look into the photocell sensor covered in dirt near the school? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Streetlight Fault
How long do we have to tolerate this sinking road bed forming a deep dip outside the hospital?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Road Damage
Why has the illegal dumping of construction debris railway station gate not been attended to yet? Who is responsible for this civic neglect?,Garbage
"While passing by near the bus stop yesterday, I noticed a severe case of hairline pipeline crack causing low pressure. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
How long do we have to tolerate this overhead municipal tank overflowing village square?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
"While passing by public park corner yesterday, I noticed a severe case of severely blocked sewer causing backflow. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
This is to bring to your kind notice that there is an issue with overflowing dumpsters catching fire situated bridge approach. Kindly arrange for an immediate check.,Garbage
It has been observed that fountain of water from construction puncture is present service road. A regular inspection and subsequent inspect should be scheduled by the concerned department.,Water Leakage
Could you please look into the dirty water backing up into household toilets shopping complex? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
It has been observed that stray animals tearing up garbage bags is present main crossroad. A regular inspection and subsequent renovate should be scheduled by the concerned department.,Garbage
"While passing by metro station exit yesterday, I noticed a severe case of sharp edges on the side of the road. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Road Damage
It is deeply distressing to see roadside waste accumulating over weeks government office back alley. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
"While passing by village square yesterday, I noticed a severe case of severely blocked sewer causing backflow. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
It has been observed that exposed iron rods from broken pavement is present government office back alley. A regular inspection and subsequent check should be scheduled by the concerned department.,Road Damage
How long do we have to tolerate this cracked and eroding asphalt surface temple street?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Road Damage
storm sewer back up flooding the basement shopping complex.,Drainage Blockage
"Hey, water meter leakage wasting clean water inside our colony. Can someone please come and check it as soon as possible?",Water Leakage
It has been observed that culvert completely plugged with debris is present near the bus stop. A regular inspection and subsequent rectify should be scheduled by the concerned department.,Drainage Blockage
I am writing this to report a persistent problem regarding loose gravel causing bikes to slip service road. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary renovate at the earliest opportunity to prevent further hazards.,Road Damage
How long do we have to tolerate this main supply conduit cracked open service road?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
Why has the feces and dark water pooling on the asphalt by the market not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
"Hey, household garbage thrown in open plots metro station exit. Can someone please come and check it as soon as possible?",Garbage
"Hey, sewage overflow entering residential compounds public park corner. Can someone please come and clean it as soon as possible?",Drainage Blockage
exposed live wiring hanging from the post temple street.,Streetlight Fault
I am writing this to report a persistent problem regarding collapsed drainage pipe underground bridge approach. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary clean at the earliest opportunity to prevent further hazards.,Drainage Blockage
This is to bring to your kind notice that there is an issue with community bin hasn't been emptied for a week situated near the school. Kindly arrange for an immediate rectify.,Garbage
Could you please look into the sharp edges on the side of the road public park corner? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Road Damage
I am writing this to report a persistent problem regarding fuse blown inside the pole base panel near the school. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary inspect at the earliest opportunity to prevent further hazards.,Streetlight Fault
How long do we have to tolerate this underground pipe crack seeping through concrete outside the hospital?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
Why has the broken concrete road divider residential area not been attended to yet? Who is responsible for this civic neglect?,Road Damage
I am writing this to report a persistent problem regarding stray animals tearing up garbge bags near the school. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary mend at the earliest opportunity to prevent further hazards.,Garbage
It has been observed that constant dripping from connection point is present metro station exit. A regular inspection and subsequent fix should be scheduled by the concerned department.,Water Leakage
"While passing by service road yesterday, I noticed a severe case of overflowing manhole cover lifting up. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
"Hey, storm sewer back up flooding the basement service road. Can someone please come and remove it as soon as possible?",Drainage Blockage
"Hey, culvert completely plugged with debris inside our colony. Can someone please come and overhaul it as soon as possible?",Drainage Blockage
Why has the discarded furniture blocking the lane temple street not been attended to yet? Who is responsible for this civic neglect?,Garbage
"While passing by bridge approach yesterday, I noticed a severe case of sinking road bed forming a deep dip. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Road Damage
market waste discarded haphazardly bridge approach.,Garbage
"While passing by inside our colony yesterday, I noticed a severe case of collapsed drainage pipe underground. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Drainage Blockage
flooded storm drain after mild rain service road.,Drainage Blockage
It has been observed that light completely off leaving area pitch dark is present public park corner. A regular inspection and subsequent clean should be scheduled by the concerned department.,Streetlight Fault
It is deeply distressing to see precious drinking water lost for hours residential area. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
I am writing this to report a persistent problem regarding construction damage left unrepaired government office back alley. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary sort out at the earliest opportunity to prevent further hazards.,Road Damage
It is deeply distressing to see roadside waste accumulating over weeks public park corner. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
How long do we have to tolerate this freshwater wasting down the storm drain apartment entrance?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
Why has the feces and dark water pooling on the asphalt service road not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
burnt out sodium vapor lamp highway lane.,Streetlight Fault
Why has the sludge accumulation reducing pipe capacity near the bus stop not been attended to yet? Who is responsible for this civic neglect?,Drainage Blockage
It is deeply distressing to see festival waste left uncollected footpath. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
It is deeply distressing to see damaged fire hydrant leaking continuously bridge approach. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
"While passing by main crossroad yesterday, I noticed a severe case of broken electric pole leaning dangerously. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Streetlight Fault
It is deeply distressing to see grease block from nearby restaurants footpath. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Drainage Blockage
How long do we have to tolerate this water meter leakage wasting clean water residential area?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Water Leakage
This is to bring to your kind notice that there is an issue with water meter leakage wasting clean water situated service road. Kindly arrange for an immedate resolve.,Water Leakage
